Date,Confirmed
2021-01-22,54483.0
2021-01-23,54559.0
2021-01-24,54595.0
2021-01-25,54672.0
2021-01-26,54750.0
2021-01-27,54854.0
2021-01-28,54891.0
2021-01-29,54939.0
2021-01-30,55008.0
2021-01-31,55023.0
2021-02-01,55059.0
2021-02-02,55121.0
2021-02-03,55174.0
2021-02-04,55231.0
2021-02-05,55265.0
2021-02-06,55330.0
2021-02-07,55335.0
2021-02-08,55359.0
2021-02-09,55384.0
2021-02-10,55402.0
2021-02-11,55420.0
2021-02-12,55445.0
2021-02-13,55473.0
2021-02-14,55492.0
2021-02-15,55514.0
2021-02-16,55518.0
2021-02-17,55540.0
2021-02-18,55557.0
2021-02-19,55575.0
2021-02-20,55580.0
2021-02-21,55604.0
2021-02-22,55617.0
2021-02-23,55646.0
2021-02-24,55664.0
2021-02-25,55680.0
2021-02-26,55696.0
2021-02-27,55707.0
2021-02-28,55714.0
2021-03-01,55733.0
2021-03-02,55759.0
2021-03-03,55770.0
2021-03-04,55775.0
2021-03-05,55827.0
2021-03-06,55840.0
2021-03-07,55847.0
2021-03-08,55876.0
2021-03-09,55876.0
2021-03-10,55894.0
2021-03-11,55917.0
2021-03-12,55959.0
2021-03-13,55959.0
2021-03-14,55985.0
2021-03-15,55985.0
2021-03-16,55995.0
2021-03-17,56016.0
2021-03-18,56044.0
2021-03-19,56069.0
2021-03-20,56093.0
2021-03-21,56103.0
2021-03-22,56153.0
2021-03-23,56177.0
2021-03-24,56192.0
2021-03-25,56226.0
2021-03-26,56254.0
2021-03-27,56290.0
2021-03-28,56294.0
2021-03-29,56322.0
2021-03-30,56384.0
2021-03-31,56454.0
2021-04-01,56517.0
2021-04-02,56572.0
2021-04-03,56595.0
2021-04-04,56676.0
2021-04-05,56717.0
2021-04-06,56779.0
2021-04-07,56873.0
2021-04-08,56943.0
2021-04-09,57019.0
2021-04-10,57144.0
2021-04-11,57160.0
2021-04-12,57242.0
2021-04-13,57364.0
2021-04-14,57492.0
2021-04-15,57534.0
2021-04-16,57612.0
2021-04-17,57721.0
2021-04-18,57793.0
2021-04-19,57898.0
2021-04-20,58037.0
2021-04-21,58214.0
2021-04-22,58312.0
2021-04-23,58542.0
2021-04-24,58730.0
2021-04-25,58843.0
2021-04-26,59015.0
2021-04-27,59225.0
2021-04-28,59370.0
2021-04-29,59576.0
2021-04-30,59745.0
2021-05-01,59939.0
2021-05-02,60122.0
2021-05-03,60300.0
2021-05-04,60563.0
